t_1,t_2
5.47158603157,48.4941721224
40.4417471578,46.5323530712
12.3642098084,48.9039069726
13.171849317,33.229813547
31.8927500533,41.2452580027
119.470062601,NA
8.17821182646,93.3284854714
31.8422946005,252.842594778
18.0563365983,NA
3.53454304755,33.0017217708
245.997636971,248.792593692
6.53632287187,9.72145597356
25.2480131763,32.0536311951
8.21930183777,19.8512969575
120.01843276,129.747848235
84.0490928198,95.9272733503
62.6107299007,100.778051472
NA,NA
24.8524181525,35.1602247047
48.0436441532,68.9128133216
20.0203427641,23.2068270254
3.92416670844,22.1890294628
31.6834592945,303.044265818
26.3821083258,50.3936855476
11.3466695032,19.6323496207
5.14151049486,60.8798768349
38.2510410244,45.4843731488
38.1599619381,51.5339998416
60.2664458048,128.511988325
11.6468290693,NA
37.4856363988,47.3020948681
20.8864734886,60.616371597
18.9380258257,56.067894871
26.2760878735,51.3846403904
11.5414812364,NA
27.1818716193,27.8775777093
20.0278226283,178.833875331
15.5978215351,31.0589711651
59.0082296511,92.5384621988
11.7566493096,16.1966870219
11.6530285494,13.5800424995
88.0085323725,NA
2.34580068429,23.4258906008
22.3957878636,48.2210816454
71.3888885179,NA
11.232991268,75.8863263504
27.1583367313,38.3600531359
20.992102726,56.287764035
32.1345225037,49.2486810858
10.8607012692,16.511110438
61.6430028227,63.8194784041
48.2605923169,61.1683425959
26.0297288354,53.1036520789
112.690391708,NA
54.1113745469,64.1976160231
0.415727068635,25.8887438939
13.1688906897,36.1638271305
7.92938607969,42.6336955374
41.3033074858,68.1035235551
5.11851966847,33.5652987292
36.3861472114,38.8918732036
4.74233140393,18.1147343095
17.0386082007,65.1352992165
158.08517264,210.238747696
16.8114032799,31.7870524311
42.4974201149,63.6907115641
3.49309903657,6.79419002077
20.2776712986,23.6942202592
2.38176970647,13.6878026159
55.2510596158,NA
32.1396182942,NA
6.76580160434,18.3127751902
52.2493736951,73.4162342312
15.6419250744,24.9919580149
12.9724925808,33.8942090501
34.2214154503,38.8926237707
55.4515294781,57.6467640668
41.3922172195,88.2724667503
16.4165575575,32.8159736857
24.5050792644,41.7411899562
34.7259750242,42.3859748976
39.6817460158,47.5283357641
33.0192198243,51.2391926062
32.780672716,35.1297079274
14.2400768144,44.6293889689
8.0281113241,35.0155624745
10.4647007688,39.8006277149
10.7790641048,34.7612355104
109.681324865,NA
59.3786133735,63.0629349284
33.9245774483,36.9509252065
9.53488052636,15.764427157
60.062543353,62.4182583146
124.550443316,147.459912009
46.0651512733,56.8760040134
2.50610298083,162.247694737
60.802102024,63.6152948413
60.6587327964,79.0041695095
46.95827319,NA
4.56342208652,18.0961167639
36.6475793077,107.963165253
29.2784214538,34.3158561332
113.954469993,NA
124.826348867,NA
NA,NA
20.1095901089,55.3950788713
0.500908078599,5.20903335743
5.67120764367,64.9298605367
21.0256174284,64.9038886301
34.5326745542,51.2208536206
5.82717172706,15.0660149493
20.0360769774,67.3980038341
27.7506686987,71.1181491381
75.0514076617,77.6815996785
7.35398549654,38.8475372292
40.2639843579,65.604707354
4.31779290591,12.3813840631
24.4572108124,91.8672707117
83.2571232206,NA
12.2632359785,164.021917185
