p_soft,p_hard,p_ext,heterozygosity,b_w,d_w,b_m,d_m,wU,Kmax,n_simulations,n_sweeps
0.525,0.356,0.119,0.151412367498,0.9,1.0,2.0,1.0,1.0,10000,1000,881
0.011,0.17,0.819,0.0103449744144,0.9,1.0,1.3,1.0,0.1,110000,1000,181
0.047,0.261,0.692,0.0485744643072,0.0,1.0,2.0,1.0,1.0,10000,1000,308
1.0,0.0,0.0,0.746681778676,0.9,1.0,2.0,1.0,10.0,10000,1000,1000
0.991,0.009,0.0,0.351551243291,0.99,1.0,2.0,1.0,1.0,110000,1000,1000
0.0,0.026,0.974,0.0,0.97,1.0,1.1,1.0,0.1,10000,1000,26
0.571,0.328,0.101,0.220154775023,0.97,1.0,1.1,1.0,10.0,10000,1000,899
1.0,0.0,0.0,0.832559802075,0.99,1.0,1.1,1.0,10.0,110000,1000,1000
1.0,0.0,0.0,0.835981995201,0.97,1.0,2.0,1.0,10.0,110000,1000,1000
0.002,0.089,0.909,0.00754478024781,0.7,1.0,2.0,1.0,0.1,10000,1000,91
0.072,0.417,0.511,0.0253215789703,0.97,1.0,1.3,1.0,0.1,110000,1000,489
0.0,0.02,0.98,0.0,0.7,1.0,1.1,1.0,0.1,110000,1000,20
0.954,0.046,0.0,0.355915656565,0.97,1.0,1.3,1.0,1.0,110000,1000,1000
0.003,0.1,0.897,0.00978780214956,0.7,1.0,1.1,1.0,1.0,10000,1000,103
0.995,0.004,0.001,0.67394375051,0.7,1.0,1.3,1.0,10.0,110000,1000,999
0.695,0.299,0.006,0.203772377352,0.97,1.0,2.0,1.0,1.0,10000,1000,994
0.0,0.011,0.989,0.0,0.0,1.0,1.1,1.0,0.1,10000,1000,11
0.035,0.309,0.656,0.0204931867969,0.99,1.0,1.1,1.0,1.0,10000,1000,344
0.437,0.344,0.219,0.236403750625,0.0,1.0,1.3,1.0,10.0,10000,1000,781
0.955,0.032,0.013,0.550779694055,0.0,1.0,2.0,1.0,10.0,110000,1000,987
