p_soft,p_hard,p_ext,heterozygosity,b_w,d_w,b_m,d_m,wU,Kmax,n_simulations,n_sweeps
0.525,0.356,0.119,0.366423011394,0.9,1.0,2.0,1.0,1.0,10000,1000,881
0.011,0.17,0.819,0.0295766031348,0.9,1.0,1.3,1.0,0.1,110000,1000,181
0.047,0.261,0.692,0.119876958945,0.0,1.0,2.0,1.0,1.0,10000,1000,308
1.0,0.0,0.0,0.995339494954,0.9,1.0,2.0,1.0,10.0,10000,1000,1000
0.991,0.009,0.0,0.752612094375,0.99,1.0,2.0,1.0,1.0,110000,1000,1000
0.0,0.026,0.974,0.0,0.97,1.0,1.1,1.0,0.1,10000,1000,26
0.571,0.328,0.101,0.495004765294,0.97,1.0,1.1,1.0,10.0,10000,1000,899
1.0,0.0,0.0,0.999769532603,0.99,1.0,1.1,1.0,10.0,110000,1000,1000
1.0,0.0,0.0,0.99968323267,0.97,1.0,2.0,1.0,10.0,110000,1000,1000
0.002,0.089,0.909,0.0183090305801,0.7,1.0,2.0,1.0,0.1,10000,1000,91
0.072,0.417,0.511,0.065850119551,0.97,1.0,1.3,1.0,0.1,110000,1000,489
0.0,0.02,0.98,0.0,0.7,1.0,1.1,1.0,0.1,110000,1000,20
0.954,0.046,0.0,0.736971748625,0.97,1.0,1.3,1.0,1.0,110000,1000,1000
0.003,0.1,0.897,0.024812133906,0.7,1.0,1.1,1.0,1.0,10000,1000,103
0.995,0.004,0.001,0.979871389159,0.7,1.0,1.3,1.0,10.0,110000,1000,999
0.695,0.299,0.006,0.480972576052,0.97,1.0,2.0,1.0,1.0,10000,1000,994
0.0,0.011,0.989,0.0,0.0,1.0,1.1,1.0,0.1,10000,1000,11
0.035,0.309,0.656,0.0575653733312,0.99,1.0,1.1,1.0,1.0,10000,1000,344
0.437,0.344,0.219,0.491047007901,0.0,1.0,1.3,1.0,10.0,10000,1000,781
0.955,0.032,0.013,0.91688296537,0.0,1.0,2.0,1.0,10.0,110000,1000,987
0.35,0.58,0.07,0.243545147303,0.99,1.0,1.3,1.0,1.0,10000,1000,930
0.89,0.085,0.025,0.853202321359,0.0,1.0,2.0,1.0,10.0,10000,1000,975
0.995,0.005,0.0,0.942060671328,0.97,1.0,1.3,1.0,10.0,10000,1000,1000
0.032,0.215,0.753,0.107530049346,0.7,1.0,1.1,1.0,1.0,110000,1000,247
1.0,0.0,0.0,0.99888101582,0.9,1.0,2.0,1.0,10.0,110000,1000,1000
0.0,0.011,0.989,0.0,0.7,1.0,1.1,1.0,0.1,10000,1000,11
0.474,0.331,0.195,0.377962507291,0.7,1.0,2.0,1.0,1.0,110000,1000,805
0.017,0.19,0.793,0.0515467906391,0.97,1.0,1.1,1.0,1.0,10000,1000,207
0.568,0.306,0.126,0.473245338912,0.97,1.0,1.1,1.0,1.0,110000,1000,874
0.7364,0.2636,0.0,0.540920242218,0.99,1.0,2.0,1.0,1.0,10000,10000,10000
1.0,0.0,0.0,0.995005276351,0.7,1.0,2.0,1.0,10.0,110000,1000,1000
0.079,0.266,0.655,0.155662816187,0.0,1.0,2.0,1.0,1.0,110000,1000,345
0.0,0.008,0.992,0.0,0.0,1.0,1.1,1.0,0.1,110000,1000,8
0.103,0.309,0.588,0.177154237491,0.9,1.0,1.3,1.0,1.0,10000,1000,412
0.001,0.065,0.934,0.0151049280197,0.0,1.0,1.1,1.0,1.0,10000,1000,66
1.0,0.0,0.0,0.997459510578,0.97,1.0,2.0,1.0,10.0,10000,1000,1000
1.0,0.0,0.0,0.998844425372,0.97,1.0,1.1,1.0,10.0,110000,1000,1000
0.001,0.072,0.927,0.0134274753717,0.7,1.0,1.3,1.0,0.1,110000,1000,73
0.0,0.017,0.983,0.0,0.0,1.0,1.3,1.0,0.1,10000,1000,17
0.221,0.644,0.135,0.122385608151,0.99,1.0,1.3,1.0,0.1,110000,1000,865
0.009,0.195,0.796,0.0152903964642,0.9,1.0,2.0,1.0,0.1,10000,1000,204
0.022,0.181,0.797,0.0868476058526,0.0,1.0,1.3,1.0,1.0,110000,1000,203
0.003,0.057,0.94,0.0356157674643,0.9,1.0,1.1,1.0,0.1,110000,1000,60
0.01,0.138,0.852,0.0600184307474,0.0,1.0,1.3,1.0,1.0,10000,1000,148
0.098,0.334,0.568,0.189639668957,0.0,1.0,1.1,1.0,10.0,10000,1000,432
0.223,0.599,0.178,0.09128346828,0.97,1.0,2.0,1.0,0.1,110000,1000,822
1.0,0.0,0.0,0.999364061085,0.9,1.0,1.3,1.0,10.0,110000,1000,1000
0.006,0.139,0.855,0.0384606705014,0.9,1.0,1.1,1.0,1.0,10000,1000,145
0.353,0.395,0.252,0.402826887705,0.9,1.0,1.1,1.0,10.0,10000,1000,748
0.07,0.726,0.204,0.0505339287161,0.99,1.0,2.0,1.0,0.1,10000,1000,796
0.206,0.388,0.406,0.238474378151,0.7,1.0,2.0,1.0,1.0,10000,1000,594
0.165,0.361,0.474,0.244565447019,0.9,1.0,1.1,1.0,1.0,110000,1000,526
0.962,0.034,0.004,0.883402960887,0.9,1.0,1.3,1.0,10.0,10000,1000,996
0.001,0.051,0.948,0.00107059076655,0.0,1.0,2.0,1.0,0.1,110000,1000,52
